,Predicted Adview
0,522.41
1,549.11
2,90.22
3,521.41
4,4079.45
5,3.57
6,13.07
7,347.61
8,14.76
9,887.14
10,919.07
11,8006.87
12,1162.74
13,1.38
14,4.3
15,16.18
16,2.05
17,4.99
18,65.8
19,6.54
20,46.71
21,425.2
22,817.21
23,4.6
24,4.87
25,173.39
26,4.27
27,11.84
28,8.97
29,14.34
30,15.22
31,3626.64
32,33.98
33,1.36
34,2.05
35,26.12
36,3774.36
37,172.69
38,5.59
39,3188.84
40,242.16
41,125.37
42,1.33
43,23.41
44,1755.99
45,56.62
46,614.11
47,14.25
48,18.14
49,4.42
50,239.65
51,1236.83
52,982.54
53,7.55
54,1183.26
55,3.29
56,6.15
57,2.02
58,2.68
59,2.52
60,365.4
61,4.38
62,37992.59
63,6.75
64,216.66
65,38.36
66,8.39
67,141.78
68,531.91
69,41.64
70,504.32
71,648.38
72,1035.45
73,33.12
74,3.82
75,300.89
76,2669.22
77,2.43
78,5.4
79,15.49
80,4.92
81,2.46
82,8080.56
83,8.65
84,1740.36
85,110.79
86,2.88
87,8.21
88,16.12
89,8.5
90,95.45
91,537.21
92,19.83
93,1.8
94,1.25
95,4476.43
96,3.7
97,1773.02
98,10.76
99,7.74
100,22.48
101,426.94
102,2.98
103,716.8
104,101.62
105,7036.63
106,42.63
107,5.82
108,4.37
109,2.13
110,1158.03
111,425.89
112,171.82
113,18.47
114,472.29
115,5.69
116,6.07
117,49.77
118,2301.39
119,6.18
120,14.08
121,47.68
122,23.1
123,3.46
124,10.51
125,10.37
126,79.28
127,1294.47
128,4.28
129,967.05
130,1.82
131,2.52
132,655.53
133,3.15
134,2.99
135,3.19
136,6.44
137,61.43
138,17.84
139,59.97
140,2.05
141,3318.8
142,1.91
143,1.65
144,449.38
145,1.33
146,53.26
147,3.62
148,389.27
149,6.66
150,188.73
151,9.62
152,18732.42
153,311.14
154,2.1
155,22.03
156,2994.28
157,1.6
158,1813.29
159,15.3
160,9297.85
161,851.5
162,6.5
163,3.74
164,5.1
165,523.67
166,42.48
167,7.82
168,1916.48
169,16.98
170,944.11
171,297.04
172,4.27
173,13.17
174,3.2
175,89.83
